1361,전기/전자부품,전자부품연구원,1,이더넷스위치모듈,L2 보안스위치,(주)파이오링크,2019-09-05
1360,화학소재,한국화학융합시험연구원,R-KORAS-2018-007,교량용 신축이음장치,강재형 교량용 신축이음장치(레일형),대경산업(주),2018-11-19
1359,화학소재,한국화학융합시험연구원,R-KORAS-2018-006,교량지지용 고무받침,교량지지용 탄성받침(C형 : 합성고무),대경산업(주),2018-11-19
1358,전기/전자부품,전자부품연구원,R-KORAS-2018-013,액츄에이터,스테핑 액츄에이터,동아전장(주),2018-11-19
1357,전기/전자부품,한국기계전기전자시험연구원,R-KORAS-2018-048,액츄에이터,산업밸브용 액추에이터,(주)에너토크,2018-11-16
1356,화학소재,한국건설생활환경시험연구원,R-KORAS-2017-041,수도용 강관 코팅제,PT-500D,에이텍정밀화학,2018-02-26
1355,화학소재,한국건설생활환경시험연구원,R-KORAS-2017-040,수도용 강관 코팅제,수도용 도복장 강관 - 내부코팅제(옥세라-K),(주)케이앤지스틸,2018-02-26
1354,전기/전자부품,전자부품연구원,R-KORAS-2017-033,쇼트키다이오드,쇼트키 배리어 다이오드,파워큐브세미(주),2018-02-26
1353,전기/전자부품,전자부품연구원,R-KORAS-2017-032,인덕터,메탈 칩 인덕터,(주) 아모텍,2018-02-26
1352,전기/전자부품,전자부품연구원,R-KORAS-2017-031,인덕터,메탈 칩 인덕터,(주) 아모텍,2018-02-26
1351,전기/전자부품,전자부품연구원,R-KORAS-2017-030,인덕터,메탈 칩 인덕터,(주) 아모텍,2018-02-26
1350,전기/전자부품,전자부품연구원,R-KORAS-2017-029,다중대역결합기,다중대역결합기,(주)다인테크,2018-02-26
1349,전기/전자부품,전자부품연구원,R-KORAS-2017-028,다중대역결합기,다중대역결합기,(주)다인테크,2018-02-26
1348,금속소재,포항산업과학연구원,R-KORAS-2017-039,폴리머 피복 파형강관,폴리머 피복 파형강관,(주)픽슨,2018-02-24
